State,County,max_aqi,p90_aqi,median_aqi,mean_days_unhealthy,mean_days_sensitive,risk_label
Idaho,Latah,415,58,21.166666666666668,1.8333333333333333,1.3333333333333333,High Risk
Kansas,Sherman,494,58,19.833333333333332,0.0,1.0,High Risk
Washington,Clallam,368,58,35.166666666666664,0.16666666666666666,0.6666666666666666,High Risk
Washington,Mason,397,58,22.333333333333332,0.3333333333333333,1.0,High Risk
Washington,Whitman,326,58,21.833333333333332,2.1666666666666665,1.0,High Risk
Oregon,Benton,541,56,22.0,0.3333333333333333,0.0,High Risk
Oregon,Wasco,599,55,22.5,0.5,0.5,High Risk
Washington,Klickitat,1358,53,18.666666666666668,0.3333333333333333,0.16666666666666666,High Risk
Colorado,Prowers,652,52,20.333333333333332,0.5,0.5,High Risk
Arizona,Mohave,331,44,18.0,0.3333333333333333,0.3333333333333333,High Risk
Indiana,Lake,219,85,53.0,1.0,7.833333333333333,Lower Risk
Oregon,Lake,188,85,27.0,2.0,7.333333333333333,Lower Risk
California,Glenn,221,84,41.666666666666664,4.166666666666667,2.8333333333333335,Lower Risk
Colorado,Gilpin,151,84,46.5,0.16666666666666666,8.0,Lower Risk
Colorado,Park,190,84,49.2,0.6,8.0,Lower Risk
Connecticut,Fairfield,242,84,45.0,3.3333333333333335,13.833333333333334,Lower Risk
Illinois,Lake,185,84,40.333333333333336,0.5,7.0,Lower Risk
Louisiana,Iberville,159,84,40.833333333333336,0.5,5.5,Lower Risk
Missouri,Clinton,133,84,40.666666666666664,0.0,2.1666666666666665,Lower Risk
Montana,Sanders,261,84,30.333333333333332,3.3333333333333335,2.3333333333333335,Lower Risk
Nevada,Carson City,304,84,44.166666666666664,3.3333333333333335,4.666666666666667,Lower Risk
North Dakota,Cass,211,84,41.0,3.0,4.0,Lower Risk
Oklahoma,Johnston,161,84,42.666666666666664,0.3333333333333333,2.3333333333333335,Lower Risk
Pennsylvania,Allegheny,237,84,54.0,0.5,8.666666666666666,Lower Risk
Texas,Dallas,304,84,51.333333333333336,0.8333333333333334,13.0,Lower Risk
Wisconsin,Marathon,166,84,36.0,0.3333333333333333,1.6666666666666667,Lower Risk
Wisconsin,Ozaukee,210,84,40.166666666666664,1.0,6.666666666666667,Lower Risk
Wyoming,Albany,312,84,48.666666666666664,0.8333333333333334,6.833333333333333,Lower Risk
Minnesota,Anoka,175,83,40.666666666666664,0.8333333333333334,3.5,Lower Risk
Minnesota,Stearns,252,83,39.666666666666664,0.8333333333333334,2.5,Lower Risk
Ohio,Cuyahoga,234,83,54.833333333333336,1.0,6.333333333333333,Lower Risk
Texas,Webb,163,83,46.166666666666664,0.16666666666666666,4.333333333333333,Lower Risk
